Suggested replacement,Units,Beijer1,Beijer 2,Beijer 3,Beijer 4,,,,,,,,,,
PT301,MPa,PT301__FW_to_demister,PT301,PT301,PT301,,,,,,,,,,
PT401,MPa,PT401__Control_air,PT401,PT401,PT401,,,,,,,,,,
TT201,°C,TT201__Exh_Gas_Inlet_to_ME_GQC,TT201,TT201,TT201,,,,,,,,,,
TT202,°C,TT202__Exh_gas_Inlet_to_AE_GQC,TT202,TT202,TT202,,,,,,,,,,
TT203,°C,TT203__Exh_Gas_outlet_of_ME_GQC,TT203,TT203,TT203,,,,,,,,,,
TT204,°C,TT204__Exh_gas_outlet_of_AE_GQC,TT204,TT204,TT204,,,,,,,,,,
TT205,°C,TT205__Exh_Gas_at_Plenum_inlet,TT205,TT205,TT205,,,,,,,,,,
TT206,°C,TT206__Exh_Gas_at_scrubber_outlet,TT206,TT206,TT206,,,,,,,,,,
TT207,°C,TT207__Exh_Gas_at_scrubber_outlet,TT207,TT207,TT207,,,,,,,,,,
TT208,°C,TT208__SW_temp,TT208,TT208,TT208,,,,,,,,,,
TT209,°C,TT209__SW_temp,TT209,TT209,TT209,,,,,,,,,,
LT201,m,LT201__Drain_tank_level,LT201,LT201,LT201,,,,,,,,,,
PH102,pH,PH102__pH_at_overboard,PH102,PH102,PH102,,,,,,,,,,
PH201,pH,PH201__pH_wash_water_out_from_scrubber,PH201,PH201,PH201,,,,,,,,,,
SO2,ppm,SO2,SO2,SO2,SO2,,,,,,,,,,
CO2,%,CO2,CO2,CO2,CO2,,,,,,,,,,
S/C,ppm/%,SO2CO2,SO2CO2,SO2CO2,SO2CO2,,,,,,,,,,
TBD SW,FNU,TBD101_inlet__WWMS_TBD_of_fresh_SW,TBD101_inlet,TBD101_inlet,TBD101_inlet,,,,,,,,,,
TBD WW,FNU,TBD101_outlet__WWMS_TBD_of_Wash_Water_outlet_from_scrubber,TBD101_outlet,TBD101_outlet,TBD101_outlet,,,,,,,,,,
TBD Diff,FNU,TBD_difference,TBD_difference,TBD_difference,TBD_difference,,,,,,,,,,
PH101 SW,pH,PH101_inlet__WWMS_pH_fresh_SW,PH101_inlet,PH101_inlet,PH101_inlet,,,,,,,,,,
PH101 WW,pH,PH101_outlet__WWMS_pH_Wash_Water_outlet_from_scrubber,PH101_outlet,PH101_outlet,PH101_outlet,,,,,,,,,,
PAH SW,µg/L,PAH101_inlet__WWMS_PAH_of_fresh_SW,PAH101_inlet,PAH101_inlet,PAH101_inlet,,,,,,,,,,
PAH WW,µg/L,PAH101_outlet__WWMS_PAH_of_Wash_Water_outlet_from_scrubber,PAH101_outlet,PAH101_outlet,PAH101_outlet,,,,,,,,,,
PAH Diff,µg/L,PAH101_difference,PAH101_difference,PAH101_difference,PAH101_difference,,,,,,,,,,
Vessel,,,Vessel_name,Vessel_name,Vessel_name,,,,,,,,,,
IMO#,,,IMO_number,IMO_number,IMO_number,,,,,,,,,,
DV201 ByP,,DV201_bypass__ME_Damper_Valve,DV201_bypass,DV201,,,,,,,,,,,
DV201 Scr,,DV201_Scrubber__ME_Damper_Valve,DV201_Scrubber,DV202,,,,,,,,,,,
DV202 ByP,,DV202_bypass__AE1_Damper_Valve,DV202_bypass,DV203,,,,,,,,,,,
DV202 Scr,,DV202_Scrubber__AE1_Damper_Valve,DV202_Scrubber,DV204,,,,,,,,,,,
DV203 ByP,,DV203_bypass__AE2_Damper_Valve,DV203_bypass,TT101,,,,,,,,,,,
DV203 Scr,,DV203_Scrubber__AE2_Damper_Valve,DV203_Scrubber,,,,,,,,,,,,
DV204 ByP,,DV204_bypass__AE3_Damper_Valve,DV204_bypass,,,,,,,,,,,,
DV204 Scr,,DV204_Scrubber__AE3_Damper_Valve,DV204_Scrubber,,,,,,,,,,,,
,,PBV204_Open__pneumatic_butterfly_valve_SW_to_demister,,,,,,,,,,,,,
,,PBV204_Close__pneumatic_butterfly_valve_SW_to_demister,,,,,,,,,,,,,
,,PBV205_Open__pneumatic_butterfly_valve_FW_to_demister,,,,,,,,,,,,,
,,PBV205_Close__pneumatic_butterfly_valve_FW_to_demister,,,,,,,,,,,,,
,,PBV206_Open__pneumatic_butterfly_valve_ME_GQC_duct,,,,,,,,,,,,,
,,PBV206_Close__pneumatic_butterfly_valve_ME_GQC_duct,,,,,,,,,,,,,
,,PBV207_Open,,,,,,,,,,,,,
,,PBV207_Close,,,,,,,,,,,,,
,,PBV208_Open__pneumatic_butterfly_valve_AE_GQC_duct,,,,,,,,,,,,,
,,PBV208_Close__pneumatic_butterfly_valve_AE_GQC_duct,,,,,,,,,,,,,
,,FCV201__Flow_Control_Valve_to_lower_head,,,,,,,,,,,,,
,,FCV202__Flow_Control_Valve_to_upper_head,,,,,,,,,,,,,
,,HBV101_Open__Hyd_Butterfly_valve_SW_pump_suction,,,,,,,,,,,,,
,,HBV101_Close__Hyd_Butterfly_valve_SW_pump_suction,,,,,,,,,,,,,
,,HBV102_Open__Hyd_Butterfly_valve_overboard,,,,,,,,,,,,,
,,HBV102_Close__Hyd_Butterfly_valve_overboard,,,,,,,,,,,,,
,,HBV103_Open__Hyd_Butterfly_valve_overboard,,,,,,,,,,,,,
,,HBV103_Close__Hyd_Butterfly_valve_overboard,,,,,,,,,,,,,
,,WV101_Open_3,,,,,,,,,,,,,
,,WV101_Close_3,,,,,,,,,,,,,
,,WMS_FLOW,,,,,,,,,,,,,
,,P201_Running__SW_Booster_pump_to_demister,,,,,,,,,,,,,
,,P301_Running__FW_Booster_pump_to_demister,,,,,,,,,,,,,
,,B201_Running__Blower_no1,,,,,,,,,,,,,
,,B202_Running__Blower_no2,,,,,,,,,,,,,
,,Manual,,,,,,,,,,,,,
,,Auto,,,,,,,,,,,,,
,,ME_Tot_dP__Total_EGC_dP_from_ME_inlet_to_DM_outlet,,,,,,,,,,,,,
,,AE_Tot_dP__Total_EGC_dP_from_AE_inlet_to_DM_outlet,,,,,,,,,,,,,
,,PT207_PT211__dP_across_Scrubber,,,,,,,,,,,,,
,,PT207_PT208__dP_across_lower_head,,,,,,,,,,,,,
,,PT208_PT209__dP_across_upper_head,,,,,,,,,,,,,
,,PT205_PT207__dP_across_ME_GQC,,,,,,,,,,,,,
,,PT206_PT207__dP_across_AE_GQC,,,,,,,,,,,,,
,,TT101__WMS_Sample_Temp,,,,,,,,,,,,,
,,Vessel_name,,,,,,,,,,,,,
,,IMO_number,,,,,,,,,,,,,
